Estacion,Codigo, Abz m,ID_pnt_atn,Dist_geo_km_T_Est,Abz_geo,Abz_real
puerto berrio,23097030,0.0,0,0,0,0.0000
barrancabermeja,23157030,103793.0,188,"0,338337","108,7160544",109054.3914
puerto wilches,23187010,138605.0,230,"3,160481","138,7908248",141951.3058
san pablo rio magdalena,23207040,155506.0,254,"0,254814","158,3324289",158587.2429
sitio nuevo,23187280,196446.0,294,0,"199,829265",199829.2650
badillo,23187120,220334.0,313,"0,266969","223,8240425",224091.0115
el contento,23217030,257820.0,355,"0,134604","261,991706",262126.3100
la gloria,23217060,304186.0,412,"1,283811","308,8237347",310107.5457
penoncito,25027330,362000,471,0,362000,362000.0000
